airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,non_codeshare_route_presence_count,all_listed_route_presence_count,route_presence_uplift,non_codeshare_airport_coverage,all_listed_airport_coverage,airport_coverage_uplift,non_codeshare_country_coverage,all_listed_country_coverage,country_coverage_uplift,non_codeshare_top1_origin_share,all_listed_top1_origin_share,top1_origin_share_difference,non_codeshare_origin_airport_hhi,all_listed_origin_airport_hhi,origin_hhi_difference,non_codeshare_effective_hubs,all_listed_effective_hubs,effective_hubs_difference
id:338,338,TL,Airnorth,Australia,Y,True,False,False,False,33,33,0,16,16,0,2,2,0,0.272727272727273,0.272727272727273,0,0.118457300275482,0.118457300275482,0,8.44186046511628,8.44186046511628,0
id:9541,9541,TM,Air Mozambique,Mozambique,Y,True,True,False,True,54,54,0,14,14,0,5,5,0,0.185185185185185,0.185185185185185,0,0.104252400548697,0.104252400548697,0,9.59210526315789,9.59210526315789,0
id:8745,8745,TO,Transavia France,France,Y,True,True,True,True,488,488,0,83,83,0,21,21,0,0.0881147540983607,0.0881147540983607,0,0.0314347621607095,0.0314347621607095,0,31.8119155757414,31.8119155757414,0
id:5013,5013,TOM,Thomsonfly,United Kingdom,Y,True,True,True,True,139,139,0,36,36,0,15,15,0,0.136690647482014,0.136690647482014,0,0.0634025153977538,0.0634025153977538,0,15.7722448979592,15.7722448979592,0
id:4936,4936,TR,Tiger Airways,Singapore,Y,True,True,False,True,74,74,0,38,38,0,16,16,0,0.5,0.5,0,0.256756756756757,0.256756756756757,0,3.89473684210526,3.89473684210526,0
id:4937,4937,TT,Tiger Airways Australia,Australia,Y,True,False,False,False,42,42,0,14,14,0,1,1,0,0.238095238095238,0.238095238095238,0,0.13718820861678,0.13718820861678,0,7.28925619834711,7.28925619834711,0
id:4870,4870,TU,Tunisair,Tunisia,Y,True,True,True,True,149,149,0,54,54,0,27,27,0,0.308724832214765,0.308724832214765,0,0.115535336246115,0.115535336246115,0,8.65536062378168,8.65536062378168,0
id:5333,5333,TV,Virgin Express,Belgium,Y,True,False,False,False,42,42,0,17,17,0,1,1,0,0.214285714285714,0.214285714285714,0,0.108843537414966,0.108843537414966,0,9.1875,9.1875,0
id:16624,16624,TW,Tway Airlines,South Korea,Y,False,False,False,False,16,16,0,10,10,0,5,5,0,0.3125,0.3125,0,0.15625,0.15625,0,6.4,6.4,0
id:2825,2825,TY,Iberworld,Spain,Y,True,False,False,False,23,23,0,10,10,0,1,1,0,0.347826086956522,0.347826086956522,0,0.175803402646503,0.175803402646503,0,5.68817204301075,5.68817204301075,0
id:17891,17891,TZ,Scoot,Singapore,Y,True,False,False,False,24,24,0,13,13,0,8,8,0,0.375,0.375,0,0.180555555555556,0.180555555555556,0,5.53846153846154,5.53846153846154,0
id:2297,2297,U2,easyJet,United Kingdom,Y,True,True,True,True,1130,1130,0,128,128,0,35,35,0,0.0893805309734513,0.0893805309734513,0,0.0244294776411622,0.0244294776411622,0,40.9341540039751,40.9341540039751,0
id:5234,5234,U6,Ural Airlines,Russia,Y,True,True,True,True,232,232,0,60,60,0,18,18,0,0.129310344827586,0.129310344827586,0,0.0481569560047563,0.0481569560047563,0,20.7654320987654,20.7654320987654,0
id:3721,3721,U7,Northern Dene Airways,Canada,Y,False,False,False,False,16,16,0,8,8,0,7,7,0,0.4375,0.4375,0,0.2421875,0.2421875,0,4.12903225806452,4.12903225806452,0
id:2757,2757,UD,Hex'Air,France,Y,False,False,False,False,2,2,0,2,2,0,1,1,0,0.5,0.5,0,0.5,0.5,0,2,2,0
id:3589,3589,UE,Nasair,Eritrea,Y,False,False,False,False,16,16,0,9,9,0,8,8,0,0.3125,0.3125,0,0.1640625,0.1640625,0,6.09523809523809,6.09523809523809,0
id:5085,5085,UG,Tuninter,Tunisia,Y,True,False,False,False,24,24,0,11,11,0,4,4,0,0.333333333333333,0.333333333333333,0,0.163194444444444,0.163194444444444,0,6.12765957446809,6.12765957446809,0
id:11811,11811,UJ,AlMasria Universal Airlines,Egypt,Y,True,False,False,False,32,32,0,17,17,0,6,6,0,0.25,0.25,0,0.1171875,0.1171875,0,8.53333333333333,8.53333333333333,0
id:608,608,UM,Air Zimbabwe,Zimbabwe,Y,False,False,False,False,12,12,0,4,4,0,2,2,0,0.25,0.25,0,0.25,0.25,0,4,4,0
id:2774,2774,UO,Hong Kong Express Airways,Hong Kong SAR of China,Y,True,False,False,False,20,20,0,11,11,0,7,7,0,0.5,0.5,0,0.275,0.275,0,3.63636363636364,3.63636363636364,0
