airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,mean_route_distance_km,median_route_distance_km,p90_route_distance_km,valid_distance_route_presences,invalid_or_missing_distance_route_presences,domestic_route_presence_share,international_route_presence_share,distinct_country_count,origin_country_count,destination_country_count
id:1057,1057,MK,Air Mauritius,Mauritius,Y,True,False,False,False,4459.32904369149,4332.97411686689,9150.7128408118,39,0,0.0769230769230769,0.923076923076923,13,13,13
id:3021,3021,3K,Jetstar Asia Airways,Singapore,Y,True,False,False,False,2066.50091577667,2057.37999791765,3494.58352702455,36,0,0,1,12,12,12
id:4255,4255,BI,Royal Brunei Airlines,Brunei,Y,True,False,False,False,2718.68390782842,1535.72223416351,6722.78134973881,30,0,0.0666666666666667,0.933333333333333,12,12,12
id:1942,1942,CY,Cyprus Airways,Cyprus,Y,True,False,False,False,1731.87607385713,1254.96450088868,2991.63068815058,29,0,0.0344827586206897,0.96551724137931,12,12,12
id:2684,2684,HQ,Harmony Airways,Canada,N,True,True,False,True,1821.49125495316,1870.20430763612,2850.06503822288,88,0,0.0909090909090909,0.909090909090909,12,12,12
id:1422,1422,PG,Bangkok Airways,Thailand,Y,True,True,False,True,1243.28288987434,673.541488141915,3166.35758312347,63,0,0.444444444444444,0.555555555555556,12,12,11
id:4897,4897,TCX,Thomas Cook Airlines,United Kingdom,Y,True,True,True,True,3179.04029245285,3001.48843885906,4076.85959084657,125,0,0,1,12,11,11
id:3754,3754,XY,Nas Air,Saudi Arabia,Y,True,True,True,True,1769.12971613635,1218.56160569998,3653.15774304772,102,0,0.274509803921569,0.725490196078431,12,12,12
id:595,595,3G,Atlant-Soyuz Airlines,Russia,Y,True,False,False,False,1524.35345213787,825.871400577565,3599.88895978437,30,0,0,1,11,11,11
id:240,240,AP,Air One,Italy,Y,True,True,False,True,1276.22580004946,1053.89432523994,1960.59441370949,76,0,0.289473684210526,0.710526315789474,11,11,11
id:4947,4947,FD,Thai AirAsia,Thailand,Y,True,True,False,True,1266.07563979811,1067.07194375251,2416.69811921438,92,0,0.391304347826087,0.608695652173913,11,11,11
id:879,879,FJ,Air Pacific,Fiji,Y,True,False,False,False,3056.56251654234,2445.09797026287,6040.63727223533,38,0,0,1,11,11,11
id:2682,2682,HF,Hapagfly,Germany,Y,True,False,False,False,887.467289233476,831.930397658915,1574.24312889011,25,0,0,1,11,11,11
id:2218,2218,OV,Estonian Air,Estonia,Y,True,False,False,False,1037.38357998235,838.975369113073,1857.92648686505,26,0,0,1,11,11,11
id:5479,5479,SE,XL Airways France,France,Y,True,False,False,False,4652.81175442077,5833.65783420626,8142.78490100273,32,0,0.1875,0.8125,11,11,11
id:1886,1886,V0,Conviasa,Venezuela,Y,True,True,False,True,865.391304987861,509.309550898585,1440.95375674909,78,0,0.717948717948718,0.282051282051282,11,11,11
id:18944,18944,7I,Insel Air (7I/INC) (Priv),Netherlands Antilles,Y,True,False,False,False,811.929322891091,694.114921457547,1828.11197306476,45,0,0.0888888888888889,0.911111111111111,10,10,10
id:15999,15999,9C,China SSS,China,Y,True,True,True,True,1430.66942464769,1297.87638229523,2220.24215252064,155,0,0.8,0.2,10,10,10
id:2923,2923,EP,Iran Aseman Airlines,Iran,Y,True,True,True,True,767.268893104735,689.688545815116,1287.87522632041,169,0,0.698224852071006,0.301775147928994,10,10,10
id:1790,1790,G3,City Connexion Airlines,Burundi,Y,True,True,True,True,1202.02920694479,850.114311933075,2188.60696277872,332,0,0.86144578313253,0.13855421686747,10,10,10
id:2993,2993,J9,Jazeera Airways,Kuwait,Y,True,False,False,False,1231.24371687792,1287.35366094415,1766.3448474351,30,0,0,1,10,10,10
id:16942,16942,L6,Mauritania Airlines International,Mauritania,Y,True,False,False,False,1063.92869809252,921.398122363536,1870.69271593126,30,0,0.2,0.8,10,10,10
id:3258,3258,LN,Libyan Arab Airlines,Libya,Y,True,True,False,True,1220.02581074666,1060.66464044847,2147.1084589695,62,0,0.258064516129032,0.741935483870968,10,10,10
id:4521,4521,SD,Sudan Airways,Sudan,Y,True,False,False,False,1411.92803367024,1196.26310709379,2573.76240274121,34,0,0.264705882352941,0.735294117647059,10,9,10
id:1908,1908,SS,Corsairfly,France,Y,False,False,False,False,5403.63649520142,5526.82491283534,9357.49520235706,19,0,0,1,10,10,10
id:20976,20976,W3,World Scale Airlines,United States,Y,True,True,False,True,786.134454198042,489.216727692226,1834.30575984398,66,0,0.666666666666667,0.333333333333333,10,10,10
id:3370,3370,W5,Mahan Air,Iran,Y,True,False,False,False,3293.01828161693,2467.88992423881,6336.04831465657,24,0,0,1,10,10,10
id:3539,3539,YM,Montenegro Airlines,Montenegro,Y,True,False,False,False,1125.40492714842,1182.65841660714,1979.11116444748,26,0,0,1,10,10,10
